EEZ,Country,Average cumulative impact score,Artisanal fishing,Demersal destructive fishing,Demersal nondestructive high bycatch fishing,Demersal nondestructive low bycatch fishing,Direct human impact,Inorganic pollution,Invasive species,Light pollution,Nutrient pollution,Oil rigs,Ocean acidification,Ocean-based pollution,Organic pollution,Pelagic high bycatch fishing,Pelagic low bycatch fishing,Sea level rise,Sea surface temperature,Shipping,UV,Notes,Area
EEZ-Singapore,Singapore,8.2254,0.0296,0.4915,0.3978,0.2487,0.5273,0.5466,1.8671,0.2009,0.365,0,0.3407,0.8788,0.0988,0.0005,0.0044,1.2156,0.599,0.4778,0,,1067
EEZ-Jordan,Jordan,6.5864,0.0696,0.5888,0.4762,0.2478,0.4039,0.3231,0.8042,0.205,0.1061,0,1.0233,0.592,0.0109,0.0106,0.0041,0.5078,1.2901,0.1551,0,,166
EEZ-Slovenia,Slovenia,6.191,0.009,0.1248,0.0701,0.1599,0.4133,0.4296,1.1069,0.1553,0.2401,0,0.518,0.7687,0.05,0,0.0043,0.7055,1.0961,0.5045,0,,220
EEZ-Bosnia_and_Herzegovina,Bosnia and Herzegovina,6.1407,0,0.023,0.0249,0.0576,1.2881,0.4652,1.2695,0.4316,0.335,0,0.2936,0.0239,0.0721,0,0,1.4309,0.4001,0.2322,0.1131,,50
EEZ-China,China,5.1714,0.002,0.6008,0.6856,0.191,0.0425,0.0429,0.0529,0.0083,0.0651,0.0004,0.5352,0.4438,0.0105,0.0103,0.0031,0.5545,1.1052,0.389,0.4388,"Total area 2,236,430 (but disputed with other countries)",877019
EEZ-Sint-Maarten_and_Saba_and_Sint-Eustasius,Netherlands,4.5068,0.0065,0.0484,0.0414,0.0177,0.0221,0.0149,0.0756,0.0112,0,0,1.0774,0.4846,0,0.004,0.007,0.1138,1.8121,0.4051,0.3748,The area size is very rough approximation.,10000
EEZ-Japan_-_Korea,Other,5.0725,0,0.4158,0.2378,0.1099,0,0,0,0,0,0,0.9951,0.3301,0,0,0.0121,0.0006,1.7935,0.4351,0.7424,Joint regime. The area size is very rough approximation.,120000
EEZ-United_Kingdom,United Kingdom,5.0395,0.0012,0.3069,0.1742,0.0858,0.0208,0.0163,0.0625,0.0039,0.0163,0,0.8469,0.3627,0.0022,0,0.0876,0.1655,1.8098,0.4192,0.6719,,773676
EEZ-Turkey,Turkey,5.0148,0.0017,0.0902,0.0642,0.1213,0.0379,0.0469,0.0528,0.0078,0.048,0,1.0722,0.4973,0.0116,0.0002,0.016,0.0964,1.9729,0.3666,0.5436,,261654
EEZ-Greece,Greece,4.9238,0.002,0.1029,0.0665,0.0772,0.0286,0.0224,0.031,0.0054,0.0131,0,1.0881,0.5454,0.002,0,0.0214,0.0743,1.8336,0.4224,0.6076,,505572
