EEZ,Country,Average cumulative impact score,Demersal destructive fishing,Demersal nondestructive high bycatch fishing,Demersal nondestructive low bycatch fishing,Direct human impact,Light pollution,Nutrient pollution,Oil rigs,Organic pollution,Pelagic high bycatch fishing,Pelagic low bycatch fishing,Sea surface temperature,UV
EEZ-Juan_de_Nova_Island,France,1.7197,-0.00105,-0.00059,-0.00313,0,0,0,0,0,0,-0.00435,1.67818,0.05064
EEZ-Glorioso_Islands,France,1.71014,-0.00235,-0.00037,-0.0069,0,0,0,0,0,0,-0.00993,1.69309,0.03661
EEZ-Comoro_Islands,Comoro Islands,1.70342,-0.00432,-0.00379,-0.00485,0.00002,-0.00008,-0.00004,0,-0.00002,-0.00158,-0.00466,1.70709,0.01858
EEZ-Ile_Tromelin,France,1.64815,-0.00016,-0.0005,-0.00563,0,0,0,0,0,0,-0.00812,1.68794,-0.02537
EEZ-Mayotte,France,1.60795,-0.00512,-0.00231,-0.01121,0.00001,0.00011,0,0,0,-0.00151,-0.01562,1.63424,0.01226
EEZ-Reunion,France,1.56058,-0.00098,-0.00114,-0.00483,0.00001,-0.00001,0,0,0,0,-0.00683,1.55026,0.02454
EEZ-Tanzania,Tanzania,1.55299,-0.02147,-0.03233,-0.01047,0.00031,-0.00006,0.00069,0,0.00005,-0.01075,-0.00193,1.62697,0.00918
EEZ-Seychelles,Seychelles,1.35155,-0.00195,-0.0009,-0.00694,0,-0.00001,0,0,0,-0.00533,-0.00999,1.35801,0.01878
EEZ-Ascension,United Kingdom,1.34847,-0.00001,-0.00001,-0.00017,0,0,0,0,0,0,-0.00023,1.36646,-0.01744
EEZ-East_Timor_and_Oecussi_Ambeno,East Timor,1.2793,-0.0319,-0.0305,-0.0165,0.0007,0.0001,0.003,0,0.0002,-0.0006,-0.0017,1.5447,-0.174
EEZ-Sao_Tome_and_Principe,Sao Tome and Principe,1.24798,0.00051,0.00037,0.00064,-0.00009,-0.00001,-0.00011,0,-0.00002,0.0069,0.00046,1.2553,-0.0148
EEZ-Mauritius,Mauritius,1.2093,-0.00555,-0.00373,-0.00947,0,0,-0.00008,0,0,-0.00034,-0.01322,1.25952,-0.01772
EEZ-Clipperton_Island,France,1.17905,-0.00019,-0.00169,-0.00103,0,0,0,0,0,-0.00536,-0.00156,1.18076,0.00812
EEZ-Australia-Indonesia,Australia/Indonesia,1.16252,-0.01256,-0.00624,-0.00378,0,0,0,0.0001,0,-0.00039,-0.00182,1.18637,0.00084
EEZ-Joint_Regime_Sao_Tome_and_Principe,Other,1.15442,0.00032,0.00035,0.00042,0,0,0,0,0,0.01669,0.00008,1.1558,-0.01924
EEZ-Christmas_Island,Australia,1.15058,0.00003,0.00003,-0.00003,0.0001,0.00002,0,0,0,0,0.00003,1.0573,0.09314
EEZ-Madagascar,Madagascar,1.11435,-0.02511,-0.0076,-0.0086,0.00014,-0.00001,0.00004,0,0.00001,-0.00049,-0.00618,1.15383,0.01212
EEZ-Saint_Helena,United Kingdom,1.08527,-0.00013,-0.00003,-0.0004,0,0,0,0,0,-0.00003,-0.00024,1.09503,-0.00892
EEZ-Mozambique,Mozambique,1.03612,-0.01237,-0.00163,-0.00158,0.00002,0.00001,0.00146,0,-0.00002,-0.00056,-0.00072,1.00938,0.04729
EEZ-Galapagos_Islands,Ecuador,1.0267,0.00151,0.00142,0.00257,-0.0005,0,0.00027,0,0.00004,0.00037,0.00207,1.02935,-0.00971
EEZ-Ghana,Ghana,1.01879,-0.00672,-0.00429,-0.00554,0.00009,0.00001,0.00101,0,0.00015,-0.02558,-0.00135,1.06379,-0.00006
EEZ-Nigeria,Nigeria,1.01521,0.00311,0.00327,0.00142,0.00059,-0.00026,-0.00137,0.00614,-0.00018,0.01191,0.00037,1.0088,-0.01454
EEZ-Papua_New_Guinea,Papua New Guinea,0.9848,0.00231,0.00208,0.01041,0.00019,0,-0.00017,0,-0.00001,0.00002,0.01641,0.98247,-0.0263
EEZ-New_Caledonia,France,0.98269,-0.00327,-0.00193,-0.00354,0.00002,0.00001,-0.00004,0,-0.00001,0,-0.0041,0.97913,0.01707
EEZ-Indonesia,Indonesia,0.97312,-0.01219,-0.01081,-0.00658,0.0003,-0.00003,0.00114,0,0.00017,-0.0003,-0.00265,0.99755,0.01104
