Partner Name,Export,Import
Aruba,3427896.5,626407.4
Afghanistan,11857872.15,793743.44
Angola,24033000.92,72155691.48
Anguila,144762.94,12563.57
Albania,4446771.96,2435457.77
Andorra,1454214.54,311060.52
United Arab Emirates,250356995.7,251535079.2
Argentina,68735011.1,79732638.62
Armenia,2688327.73,1225795.63
American Samoa,258677.69,55052.9
Antarctica,29300.48,30786.51
Fr. So. Ant. Tr,39793.83,6343.16
Antigua and Barbuda,1618331.34,388086.99
Australia,213307877.5,273405881.9
Austria,166101074.4,161640845.7
Azerbaijan,16586233.95,29134843.45
Burundi,454523.2,307339.24
Belgium,389949071.7,354619487.9
Benin,8162506.23,1200043.88
Bonaire,196794.33,3293.58
Burkina Faso,2965431.39,2037260.19
Bangladesh,35444412.31,31440539.1
Bulgaria,29972550.79,27898436.08
Bahrain,12117132.04,11795077.28
Bahamas,9567764.25,4042241.48
Bosnia and Herzegovina,8656767.96,5350027.72
Saint Barthélemy,79720.15,3806.78
Belarus,32669363.08,26694347.76
Belize,1128092.53,535229.87
Bermuda,2966467.7,405537.84
Bolivia,8352966.45,12247067.03
Brazil,232084029.2,246629049.4
Barbados,1931298.08,446414.36
Brunei,6723273.21,11208864.62
Bhutan,268194.07,156969.66
Bunkers,44852972.34,52150.27
Bouvet Island,4121.97,2262.01
Botswana,7652586.96,6814484.18
Central African Republic,401225.56,127637.06
Canada,447485300.8,467942527.5
Cocos (Keeling) Islands,29649.18,6895.53
Switzerland,317395231.4,386965915.5
Chile,70499314.29,80356858.83
China,1554497489,2397501137
Cote d'Ivoire,9208023.65,10341961.96
Cameroon,7683480.43,5458526.54
Republic of the Congo,4584652.3,11183204.31
Cook Islands,168633.5,26505.58
Colombia,55864661.36,61413193.41
Comoro Islands,233741.42,58994.66
Cape Verde,891255.23,135183.82
Costa Rica,15451111.36,35997846.76
Cuba,7303394.74,3107161.28
Curaçao,2992514.75,4097160.21
Christmas Island,55516.61,30008.82
Cayman Islands,2259519.4,865555.13
Cyprus,14695913.97,5497205.83
Czech Republic,133560947.8,146580487.1
Germany,1101433602,1368992923
Djibouti,3381120.37,131200.61
Dominica,257295.5,81650.9
Denmark,94338467.28,98992076.9
Dominican Republic,14504693.93,8412984.45
Algeria,52582666.78,64787955.35
East Asia & Pacific,4900433760,5470143333
Europe & Central Asia,6902695598,7002223038
Ecuador,23538671.68,27958617.81
Egypt,65075220.96,30579277.84
Eritrea,538065.03,326875.65
Western Sahara,1019.29,1812.28
Spain,307546874.5,283192484.5
Estonia,22293830.93,14218409.97
Ethiopia(excludes Eritrea),6975443.55,2347612.36
Finland,79859502.32,77606534.92
Fiji,2434191.41,747240.11
Falkland Island,135573.52,194441.59
France,670479012.9,591855401
Free Zones,10207000.75,4710279.24
Faeroe Islands,988994.66,1289700.35
Micronesia,116522.9,40026.97
Gabon,4176367.31,11688713.93
United Kingdom,652286285,514915439.9
Georgia,9258143.47,2468733.83
Ghana,18026139.82,13819603.57
Gibraltar,18745252.84,625614.4
Guinea,3896565.61,2459659.16
Gambia,1050129.56,147659.67
Guinea Bissau,322406.26,303338.76
Equatorial Guinea,3173241.5,14643974.39
Greece,49340845.15,30274789.23
Grenada,262233.52,54907.83
Greenland,857815.24,833641.31
Guatemala,14840441.16,9405069.57
Guam,952674.43,120978.54
Guyana,1647173.82,1594951.26
"Hong Kong, China",756636348.1,77819266.61
Heard Island and McDonald Isla,416858.48,200321.47
Honduras,10984101.95,8174110.02
Croatia,20536884.56,11560912.68
Haiti,3758751,1034542.77
Hungary,94124217.96,98977192.5
Indonesia,192520211.8,212138200.2
India,330949918.8,278759240.9
British Indian Ocean Ter.,82141.75,33947.46
