state,2013,gdp2013,2008,gdp2008
Aruba,,,2791960894,2791960894
Andorra,3249100667,3249100666.87102,4001349340,4001349340
Afghanistan,20046334304,20046334303.9661,10190529882,10190529883
Angola,1.24912E+11,124912063308.202,84178032716,84178032716
Albania,12781029644,12781029643.5936,12881352688,12881352688
Arab World,2.84699E+12,2846994251978.35,2.08134E+12,2.08134E+12
United Arab Emirates,3.87192E+11,387192103471.75,3.15475E+11,3.15475E+11
Argentina,6.23932E+11,623932049499.496,4.03782E+11,4.03782E+11
Armenia,11121465767,11121465767.4067,11662040714,11662040714
American Samoa,,,,
Antigua and Barbuda,1200587519,1200587518.51852,1347349852,1347349852
Australia,1.56395E+12,1563950959269.52,1.05456E+12,1.05456E+12
Austria,4.28699E+11,428698577647.394,4.27612E+11,4.27612E+11
Azerbaijan,73560484385,73560484384.9586,48852482960,48852482960
Burundi,2714505635,2714505634.52629,1611634332,1611634332
Belgium,5.21371E+11,521370527591.376,5.18626E+11,5.18626E+11
Benin,9110800745,9110800744.87896,7132787397,7132787397
Burkina Faso,12114166021,12114166020.7244,8369637065,8369637065
Bangladesh,1.4999E+11,149990451022.29,91631278239,91631278239
Bulgaria,55626359256,55626359256.2432,54666642734,54666642734
Bahrain,32897606383,32897606382.9787,25710877660,25710877660
Bahamas,8431750000,8431750000,8246650000,8246650000
Bosnia and Herzegovina,18154290272,18154290272.2151,19101454464,19101454464
Belarus,73097619637,73097619636.8209,60752177439,60752177439
Belize,1625828100,1625828100,1368625150,1368625150
Bermuda,5573710000,5573710000,6109928000,6109928000
Bolivia,30659338929,30659338929.0883,16674324634,16674324634
Brazil,2.46577E+12,2465773850934.56,1.69582E+12,1.69582E+12
Barbados,4281000000,4281000000,4595000000,4595000000
Brunei,16110693734,16110693734.0153,14393099069,14393099069
Bhutan,1798333726,1798333725.83954,1258332337,1258332337
Botswana,14814801573,14814801573.114,10945070442,10945070442
Central African Republic,1494073354,1494073354.38426,1985370058,1985370058
Canada,1.83744E+12,1837443486716.34,1.54913E+12,1.54913E+12
Central Europe and the Baltics,1.41933E+12,1419326474032.03,1.51907E+12,1.51907E+12
Switzerland,6.84919E+11,684919206141.128,5.51547E+11,5.51547E+11
Channel Islands,,,,
Chile,2.77079E+11,277078709134.861,1.79627E+11,1.79627E+11
